"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"237",7.6923001917386e-34,1.09141043726638,0.16,0.076,1.54184465043208e-29,"5","Sema6a"
"238",3.53629763665321e-31,1.2743557992809,0.124,0.054,7.0881549829077e-27,"5","Cdh9"
"239",4.096732839102e-31,1.09965912689878,0.178,0.092,8.21149130269606e-27,"5","Rgs2"
"240",3.56941090697039e-30,1.38006019451998,0.097,0.038,7.15452722193145e-26,"5","Penk"
"241",3.59420886128829e-25,1.10048145225461,0.144,0.074,7.20423224156625e-21,"5","Tmem56"
"242",3.94512847363591e-25,1.30798788752836,0.094,0.04,7.90761551255583e-21,"5","Sema5b"
"243",7.4856155552958e-25,1.360316615366,0.103,0.046,1.50041678190349e-20,"5","Nox4"
"244",7.85597926509532e-25,1.0557332709218,0.137,0.069,1.57465248389571e-20,"5","Kcnip3"
"245",1.01468772797505e-23,1.91601030575791,0.039,0.011,2.0338400819532e-19,"5","Cdcp1"
"246",1.73562525238438e-23,1.01438672248399,0.13,0.065,3.47888725587925e-19,"5","Fbn2"
"247",8.42448067907154e-21,1.89614120002181,0.033,0.009,1.6886029073131e-16,"5","C030005K15Rik"
"248",1.21706770316878e-20,1.0595590990782,0.112,0.056,2.4394905042315e-16,"5","Etv1"
"249",7.35857276327084e-20,1.55917227752986,0.056,0.021,1.47495232467001e-15,"5","Gm5441"
"250",8.18153113979682e-20,1.3627680943601,0.074,0.032,1.63990610166087e-15,"5","Siah3"
"251",0,4.43806139908624,0.999,0.295,0,"6","Fam19a1"
"252",0,1.95768589254951,0.872,0.42,0,"6","Pld5"
"253",0,1.9148185847961,0.742,0.303,0,"6","Ntng1"
"254",0,3.21937766917101,0.488,0.112,0,"6","Dach2"
"255",3.99357185370207e-271,1.5036394945334,0.828,0.428,8.00471542356044e-267,"6","Egfem1"
"256",2.33210117538134e-216,1.07184131794539,0.955,0.795,4.67446359593436e-212,"6","Ryr3"
"257",6.5146322386917e-204,2.97973652672263,0.179,0.025,1.30579288592336e-199,"6","Crhr2"
"258",3.13384001993711e-187,1.69737770599353,0.616,0.298,6.28146893596195e-183,"6","Cdk14"
"259",6.73647821786828e-183,1.29405780489218,0.798,0.501,1.35025969398952e-178,"6","Rbms3"
"260",1.60718925854647e-182,3.49607839871925,0.117,0.011,3.22145014983054e-178,"6","Lhx2"
"261",1.03989094379e-169,2.16235643953804,0.386,0.13,2.08435740773267e-165,"6","Thsd7b"
"262",5.5184602288157e-169,1.0961089434576,0.885,0.68,1.10612016826382e-164,"6","Ncdn"
"263",7.65403901371873e-160,1.71684727639995,0.54,0.248,1.53417557990978e-155,"6","4933427D14Rik"
"264",7.06565864900694e-154,1.38658999546586,0.738,0.474,1.41624061960695e-149,"6","Specc1"
"265",1.21402006586649e-140,1.06398660602428,0.891,0.756,2.4333818200228e-136,"6","Ppm1e"
"266",1.48626660227465e-140,1.70118735032497,0.471,0.203,2.97907277759931e-136,"6","Stac2"
"267",6.23434716616148e-136,2.80777937343374,0.139,0.022,1.24961254598541e-131,"6","Chrne"
"268",7.1062469847302e-129,1.59600301652197,0.419,0.171,1.42437614561932e-124,"6","Kcnh1"
"269",3.11445077724466e-126,1.35289474427703,0.66,0.395,6.24260513790919e-122,"6","Ptpn5"
"270",2.50177125623936e-125,1.35154834662757,0.519,0.247,5.01455030600618e-121,"6","Whrn"
"271",5.13580183759056e-123,1.198376524178,0.692,0.425,1.02942012032665e-118,"6","Wipf3"
"272",2.81085574977075e-121,1.07499540278285,0.745,0.489,5.63407926484049e-117,"6","2010300C02Rik"
"273",2.3814518177995e-120,1.15025434403076,0.726,0.487,4.77338202359731e-116,"6","Syt7"
"274",6.4697023071374e-113,1.13079365177492,0.73,0.491,1.29678713044262e-108,"6","Prkca"
"275",6.99436607573943e-112,2.03792372812561,0.231,0.067,1.40195073622121e-107,"6","Kcnh8"
"276",1.14157254976e-105,3.2692131312268,0.072,0.008,2.28816801873894e-101,"6","Gpr139"
"277",2.47069736340584e-103,1.66202068312218,0.478,0.256,4.95226579521067e-99,"6","Nebl"
"278",4.98915476597913e-103,1.11625078938512,0.602,0.343,1.00002618129286e-98,"6","Rap1gap"
"279",3.31896162743135e-101,2.68992667969206,0.114,0.02,6.65252668602339e-97,"6","Col18a1"
"280",7.2796248802365e-101,1.95124461293683,0.226,0.069,1.4591280109946e-96,"6","Grm4"
"281",1.29809224996754e-99,1.09389866771166,0.606,0.354,2.60189610583493e-95,"6","Enox1"
"282",2.31131082086315e-99,2.4741330539786,0.135,0.028,4.6327914093381e-95,"6","Dock5"
